portfolio,trade id,product,side,created at,size,size unit,price,fee,total,price/fee/total unit
default,11866,DOGE-USD,BUY,2021-06-03T17:16:25.053Z,8.60000000,DOGE,0.4037,0.00867955,-3.48049955,USD
default,11867,DOGE-USD,BUY,2021-06-03T17:16:25.053Z,4133.50000000,DOGE,0.4043,4.177935125,-1675.351985125,USD
default,13717,DOGE-USD,SELL,2021-06-03T17:42:49.016Z,4142.00000000,DOGE,0.4005,4.1471775,1654.7238225,USD
default,39659,DOGE-USD,BUY,2021-06-03T21:09:33.610Z,4028.60000000,DOGE,0.4087,4.11622205,-1650.60504205,USD
default,53474,DOGE-USD,SELL,2021-06-03T21:36:07.235Z,3570.00000000,DOGE,0.4,3.57,1424.43,USD
default,53475,DOGE-USD,SELL,2021-06-03T21:36:07.235Z,122.70000000,DOGE,0.4,0.1227,48.9573,USD
default,53476,DOGE-USD,SELL,2021-06-03T21:36:07.235Z,178.10000000,DOGE,0.4,0.1781,71.0619,USD
default,53477,DOGE-USD,SELL,2021-06-03T21:36:07.235Z,157.90000000,DOGE,0.4,0.1579,63.0021,USD
default,197513,AMP-USD,BUY,2021-06-11T11:06:49.046Z,2915.00000000,AMP,0.0696,0.405768,-203.289768,USD
default,197514,AMP-USD,BUY,2021-06-11T11:06:49.046Z,25842.00000000,AMP,0.06961,3.59772324,-1802.45934324,USD
default,199188,AMP-USD,SELL,2021-06-11T11:16:28.716Z,333.00000000,AMP,0.0695,0.0231435,23.1203565,USD
default,199189,AMP-USD,SELL,2021-06-11T11:16:28.847Z,45.00000000,AMP,0.0695,0.0031275,3.1243725,USD
default,199193,AMP-USD,SELL,2021-06-11T11:16:31.662Z,28379.00000000,AMP,0.0695,1.9723405,1970.3681595,USD
default,199983,AMP-USD,BUY,2021-06-11T11:20:53.455Z,28190.00000000,AMP,0.07069,3.9855022,-1996.7366022,USD
default,200685,AMP-USD,SELL,2021-06-11T11:25:09.157Z,17490.00000000,AMP,0.07099,1.2416151,1240.3734849,USD
default,200688,AMP-USD,SELL,2021-06-11T11:25:10.610Z,25.00000000,AMP,0.07099,0.00177475,1.77297525,USD
default,200738,AMP-USD,BUY,2021-06-11T11:25:26.932Z,17501.00000000,AMP,0.07092,2.48234184,-1243.65326184,USD
default,208574,AMP-USD,SELL,2021-06-11T12:00:53.014Z,12794.00000000,AMP,0.07489,1.91628532,956.22637468,USD
default,208575,AMP-USD,SELL,2021-06-11T12:00:53.014Z,15382.00000000,AMP,0.07485,2.3026854,1149.0400146,USD
default,208696,AMP-USD,BUY,2021-06-11T12:01:30.372Z,36.00000000,AMP,0.0757,0.0054504,-2.7306504,USD
default,208697,AMP-USD,BUY,2021-06-11T12:01:30.372Z,26552.00000000,AMP,0.07599,4.03537296,-2021.72185296,USD
default,208698,AMP-USD,BUY,2021-06-11T12:01:30.372Z,1038.00000000,AMP,0.076,0.157776,-79.045776,USD
default,221371,AMP-USD,SELL,2021-06-11T12:54:45.762Z,17924.00000000,AMP,0.07951,2.85027448,1422.28696552,USD
default,221372,AMP-USD,SELL,2021-06-11T12:54:45.762Z,9702.00000000,AMP,0.0795,1.542618,769.766382,USD
default,221724,AMP-USD,BUY,2021-06-11T12:55:36.307Z,4596.00000000,AMP,0.08297,0.76266024,-382.09278024,USD
default,221725,AMP-USD,BUY,2021-06-11T12:55:36.307Z,5643.00000000,AMP,0.08299,0.93662514,-469.24919514,USD
default,221726,AMP-USD,BUY,2021-06-11T12:55:36.307Z,16172.00000000,AMP,0.083,2.684552,-1344.960552,USD
default,315886,MIR-USD,BUY,2021-05-28T21:11:22.040Z,39.44000000,MIR,6.05,1.19306,-239.80506,USD
default,315890,MIR-USD,BUY,2021-05-28T21:11:22.839Z,200.94000000,MIR,6.05,6.078435,-1221.765435,USD
default,315892,MIR-USD,BUY,2021-05-28T21:11:23.152Z,37.17000000,MIR,6.05,1.1243925,-226.0028925,USD
default,316405,MIR-USD,SELL,2021-05-28T21:14:16.355Z,277.55000000,MIR,6.25,8.6734375,1726.0140625,USD
default,408876,AMP-USD,SELL,2021-06-12T12:26:33.269Z,1626.00000000,AMP,0.06056,0.19694112,98.27361888,USD
default,408877,AMP-USD,SELL,2021-06-12T12:26:33.269Z,8755.00000000,AMP,0.06048,1.0590048,528.4433952,USD
default,408878,AMP-USD,SELL,2021-06-12T12:26:33.269Z,12363.00000000,AMP,0.06046,1.49493396,745.97204604,USD
default,408879,AMP-USD,SELL,2021-06-12T12:26:33.269Z,3301.00000000,AMP,0.06029,0.39803458,198.61925542,USD
default,408880,AMP-USD,SELL,2021-06-12T12:26:33.269Z,366.00000000,AMP,0.06029,0.04413228,22.02200772,USD
default,418693,AMP-USD,BUY,2021-06-12T14:11:32.401Z,10769.00000000,AMP,0.06245,1.3450481,-673.8690981,USD
default,418694,AMP-USD,BUY,2021-06-12T14:11:32.401Z,605.00000000,AMP,0.06251,0.0756371,-37.8941871,USD
default,418695,AMP-USD,BUY,2021-06-12T14:11:32.401Z,6084.00000000,AMP,0.06252,0.76074336,-381.13242336,USD
default,418696,AMP-USD,BUY,2021-06-12T14:11:32.401Z,7758.00000000,AMP,0.0626,0.9713016,-486.6221016,USD
default,419105,AMP-USD,SELL,2021-06-12T14:14:49.383Z,25216.00000000,AMP,0.0635,1.601216,1599.614784,USD
default,419431,AMP-USD,BUY,2021-06-12T14:17:35.202Z,49.00000000,AMP,0.0639,0.0031311,-3.1342311,USD
default,419432,AMP-USD,BUY,2021-06-12T14:17:35.310Z,43.00000000,AMP,0.0639,0.0027477,-2.7504477,USD
default,419433,AMP-USD,BUY,2021-06-12T14:17:36.059Z,24966.00000000,AMP,0.0639,1.5953274,-1596.9227274,USD
default,420790,AMP-USD,SELL,2021-06-12T14:29:39.492Z,25058.00000000,AMP,0.06395,1.6024591,1600.8566409,USD
default,421101,AMP-USD,BUY,2021-06-12T14:32:11.916Z,2153.00000000,AMP,0.06404,0.27575624,-138.15387624,USD
default,421102,AMP-USD,BUY,2021-06-12T14:32:11.916Z,10000.00000000,AMP,0.06405,1.281,-641.781,USD
default,421103,AMP-USD,BUY,2021-06-12T14:32:11.916Z,12755.00000000,AMP,0.06423,1.6385073,-820.8921573,USD
default,586236,AMP-USD,SELL,2021-06-14T05:14:51.639Z,4113.00000000,AMP,0.06599,0.54283374,270.87403626,USD
default,586237,AMP-USD,SELL,2021-06-14T05:14:51.639Z,20795.00000000,AMP,0.06597,2.7436923,1369.1024577,USD
default,656510,AMP-USD,BUY,2021-06-14T15:11:40.939Z,23993.00000000,AMP,0.06808,3.26688688,-1636.71032688,USD
default,662621,AMP-USD,SELL,2021-06-14T15:32:14.120Z,9109.00000000,AMP,0.06814,1.24137452,619.44588548,USD
default,662622,AMP-USD,SELL,2021-06-14T15:32:14.120Z,1431.00000000,AMP,0.06802,0.19467324,97.14194676,USD
default,662623,AMP-USD,SELL,2021-06-14T15:32:14.120Z,9081.00000000,AMP,0.06801,1.23519762,616.36361238,USD
default,662624,AMP-USD,SELL,2021-06-14T15:32:14.120Z,4372.00000000,AMP,0.06794,0.59406736,296.43961264,USD
default,833109,AMP-USD,BUY,2021-06-14T23:51:38.141Z,10055.00000000,AMP,0.07623,1.5329853,-768.0256353,USD
default,833110,AMP-USD,BUY,2021-06-14T23:51:38.141Z,3997.00000000,AMP,0.07631,0.61002214,-305.62109214,USD
default,833111,AMP-USD,BUY,2021-06-14T23:51:38.141Z,7264.00000000,AMP,0.07636,1.10935808,-555.78839808,USD
default,835030,AMP-USD,SELL,2021-06-14T23:58:27.505Z,21316.00000000,AMP,0.07893,3.36494376,1679.10693624,USD
default,835425,AMP-USD,BUY,2021-06-14T23:59:32.937Z,21405.00000000,AMP,0.07844,1.6790082,-1680.6872082,USD
default,836859,AMP-USD,SELL,2021-06-15T00:03:39.667Z,12840.00000000,AMP,0.07873,2.0217864,1008.8714136,USD
default,836860,AMP-USD,SELL,2021-06-15T00:03:39.667Z,8565.00000000,AMP,0.07872,1.3484736,672.8883264,USD
default,837697,AMP-USD,BUY,2021-06-15T00:06:16.452Z,1756.00000000,AMP,0.07735,0.2716532,-136.0982532,USD
default,837698,AMP-USD,BUY,2021-06-15T00:06:16.452Z,10870.00000000,AMP,0.07735,1.681589,-842.476089,USD
default,837699,AMP-USD,BUY,2021-06-15T00:06:16.452Z,8431.00000000,AMP,0.07735,1.3042757,-653.4421257,USD
default,837700,AMP-USD,BUY,2021-06-15T00:06:16.452Z,599.00000000,AMP,0.07736,0.09267728,-46.43131728,USD
default,839281,AMP-USD,SELL,2021-06-15T00:12:58.666Z,52.00000000,AMP,0.0776,0.0080704,4.0271296,USD
default,839282,AMP-USD,SELL,2021-06-15T00:12:58.666Z,4830.00000000,AMP,0.07759,0.7495194,374.0101806,USD
default,839283,AMP-USD,SELL,2021-06-15T00:12:58.666Z,2222.00000000,AMP,0.07757,0.34472108,172.01581892,USD
default,839284,AMP-USD,SELL,2021-06-15T00:12:58.666Z,129.00000000,AMP,0.07757,0.02001306,9.98651694,USD
default,839285,AMP-USD,SELL,2021-06-15T00:12:58.666Z,1000.00000000,AMP,0.07756,0.15512,77.40488,USD
default,839286,AMP-USD,SELL,2021-06-15T00:12:58.666Z,2567.00000000,AMP,0.0775,0.397885,198.544615,USD
default,839287,AMP-USD,SELL,2021-06-15T00:12:58.666Z,2224.00000000,AMP,0.0775,0.34472,172.01528,USD
default,839288,AMP-USD,SELL,2021-06-15T00:12:58.666Z,4868.00000000,AMP,0.07743,0.75385848,376.17538152,USD
default,839289,AMP-USD,SELL,2021-06-15T00:12:58.666Z,258.00000000,AMP,0.07742,0.03994872,19.93441128,USD
default,839290,AMP-USD,SELL,2021-06-15T00:12:58.666Z,2226.00000000,AMP,0.07742,0.34467384,171.99224616,USD
default,839291,AMP-USD,SELL,2021-06-15T00:12:58.666Z,1280.00000000,AMP,0.07742,0.1981952,98.8994048,USD
default,841308,AMP-USD,BUY,2021-06-15T00:21:12.651Z,10300.00000000,AMP,0.07886,1.624516,-813.882516,USD
default,841309,AMP-USD,BUY,2021-06-15T00:21:12.651Z,9588.00000000,AMP,0.07894,1.51375344,-758.39047344,USD
default,841310,AMP-USD,BUY,2021-06-15T00:21:12.651Z,1329.00000000,AMP,0.07895,0.2098491,-105.1343991,USD
default,845374,AMP-USD,SELL,2021-06-15T00:38:54.014Z,21217.00000000,AMP,0.07902,3.35313468,1673.21420532,USD
default,845766,AMP-USD,BUY,2021-06-15T00:40:04.275Z,6530.00000000,AMP,0.07851,1.0253406,-513.6956406,USD
default,845767,AMP-USD,BUY,2021-06-15T00:40:04.275Z,14715.00000000,AMP,0.07859,2.3129037,-1158.7647537,USD
default,846192,AMP-USD,SELL,2021-06-15T00:41:27.877Z,21245.00000000,AMP,0.07801,3.3146449,1654.0078051,USD
default,846757,AMP-USD,BUY,2021-06-15T00:43:04.116Z,11484.00000000,AMP,0.0788,1.8098784,-906.7490784,USD
default,846758,AMP-USD,BUY,2021-06-15T00:43:04.116Z,9464.00000000,AMP,0.0788,1.4915264,-747.2547264,USD
default,847207,AMP-USD,SELL,2021-06-15T00:44:47.455Z,11235.00000000,AMP,0.07874,1.7692878,882.8746122,USD
default,847208,AMP-USD,SELL,2021-06-15T00:44:47.455Z,8897.00000000,AMP,0.07873,1.40092162,699.05988838,USD
default,847209,AMP-USD,SELL,2021-06-15T00:44:47.455Z,816.00000000,AMP,0.07872,0.12847104,64.10704896,USD
default,1092536,AMP-USD,BUY,2021-06-15T15:21:50.195Z,1014.00000000,AMP,0.08187,0.16603236,-83.18221236,USD
default,1092537,AMP-USD,BUY,2021-06-15T15:21:50.195Z,9356.00000000,AMP,0.08188,1.53213856,-767.60141856,USD
default,1092538,AMP-USD,BUY,2021-06-15T15:21:50.195Z,245.00000000,AMP,0.08244,0.0403956,-20.2381956,USD
default,1092539,AMP-USD,BUY,2021-06-15T15:21:50.195Z,8978.00000000,AMP,0.08264,1.48388384,-743.42580384,USD
default,1095097,AMP-USD,SELL,2021-06-15T15:27:24.765Z,4500.00000000,AMP,0.08393,0.75537,376.92963,USD
default,1095098,AMP-USD,SELL,2021-06-15T15:27:24.765Z,48.00000000,AMP,0.08376,0.00804096,4.01243904,USD
default,1095099,AMP-USD,SELL,2021-06-15T15:27:24.765Z,3666.00000000,AMP,0.08376,0.61412832,306.45003168,USD
